ISO-3166-2;ISO-3166-3;ccTLD
AR;ARG;.ar
BO;BOL;.bo
BR;BRA;.br
CL;CHL;.cl
CO;COL;.co
EC;ECU;.ec
FK;FLK;.fk
GF;GUF;.gf
GY;GUF;.gf
GY;GUY;.gy
PY;PRY;.py
PE;PER;.pe
SR;SUR;.sr
UY;URY;.uy
VE;VEN;.ve
