ISO-3166-2;ISO-3166-3;ccTLD
AS;ASM;.as
AU;AUS;.au
NZ;NZL;.nz
CK;COK;.ck
FJ;FJI;.fj
PF;PYF;.pf
GU;GUM;.gu
KI;KIR;.ki
MP;MNP;.mp
MH;MHL;.mh
FM;FSM;.fm
UM;UMI;.um
NR;NRU;.nr
NC;NCL;.nc
NZ;NZL;.nz
NU;NIU;.nu
NF;NFK;.nf
PW;PLW;.pw
PG;PNG;.pg
MP;MNP;.mp
SB;SLB;.sb
TK;TKL;.tk
TO;TON;.to
TV;TUV;.tv
VU;VUT;.vu
UM;UMI;.um
WF;WLF;.wf
WS;WSM;.ws
TL;TLS;.tl
